eeg_power,raw_value,attention,meditation,blink,amount_of_noise
"[5,3,0,0,4,1,1,0]",35,0,0,None,None
"[25,4,0,1,0,1,1,0]",36,0,0,None,25
"[964558,473944,117799,113902,51673,18392,31570,22673]",25,0,0,None,25
"[848788,810885,38654,130458,32969,37931,25138,16335]",118,0,0,None,25
"[1851879,86957,48292,29643,3451,8495,3496,5104]",114,0,0,None,0
"[46841,4186,3411,949,512,1086,848,191]",50,0,0,None,25
"[43005,1156,1104,3850,1176,1690,386,758]",39,0,0,None,0
"[20392,7483,1940,10831,1558,6650,2403,2728]",58,51,48,None,0
"[15951,14898,8600,8694,16204,10371,14443,7502]",98,64,50,None,0
"[11843,11100,9957,16593,13672,42532,6914,9987]",107,88,48,None,0
"[63054,13929,910,3735,5721,8119,1988,2428]",21,100,40,None,0
"[36259,33332,18478,4809,18356,18029,13392,6104]",41,100,27,None,0
"[18792,19181,15689,26911,9647,15698,7556,7196]",68,97,40,None,0
"[48023,12053,14497,4919,8039,34656,8756,2246]",75,97,40,None,0
"[9756,30282,9679,17656,14193,31492,12076,6797]",146,100,48,None,0
"[28165,17735,45458,2526,9315,16882,4305,4458]",1,97,61,None,0
"[204670,156816,6953,11541,17084,14988,9126,9420]",37,88,35,None,0
"[41704,17817,38016,11167,7168,16988,7427,3942]",45,74,50,None,0
"[489490,86465,25869,38582,6169,10288,8645,8754]",11,53,56,None,0
"[2574,15185,4799,6908,5409,15215,24212,9476]",27,61,43,None,0
"[19490,20005,26353,13518,13965,11881,15245,24105]",38,67,67,None,0
"[277586,66455,9810,7503,6382,21658,19136,4527]",37,67,47,None,0
"[44780,14786,30707,7029,6865,23124,5458,11077]",53,87,50,None,0
"[9426,8071,6474,5548,15555,16070,13983,9766]",59,91,48,None,0
"[11003,47544,21126,12647,10842,14838,21609,5375]",21,91,43,None,0
"[103881,7322,1775,3289,2627,14763,1986,4694]",86,100,43,None,0
"[482406,74275,37021,6150,6194,20575,8207,13854]",52,96,34,None,0
"[17579,13883,32960,5699,16048,28676,11917,7179]",23,93,43,None,0
"[291780,50546,10036,4566,12552,45063,10790,15860]",-29,100,26,None,0
"[48222,34951,28384,11484,24451,21550,7239,6096]",91,91,38,None,0
"[78202,47084,9082,18348,11751,27263,16139,7775]",58,97,35,None,0
"[30471,9055,24151,10618,8740,17679,9629,16236]",25,94,40,None,0
"[40163,32851,28565,37090,12802,13184,8593,5404]",75,78,66,None,0
"[17213,36629,39461,67035,30253,20968,16774,9521]",81,74,78,None,0
"[185679,127276,29613,32719,21186,18195,24641,15101]",101,60,80,None,0
"[18628,34361,23961,9740,18313,13338,15758,4988]",25,53,70,None,0
"[31812,103250,36928,1779,24386,19650,5637,12730]",-11,53,54,None,0
"[51814,46709,82961,16185,8552,14841,10883,6973]",-55,50,54,None,0
"[8406,21821,27788,10036,13237,20927,20466,22026]",172,63,61,None,0
"[12450,32574,4352,17869,6717,37955,9355,5532]",21,75,54,None,0
"[23692,28816,23276,11761,6998,16506,11631,6826]",76,81,66,None,0
"[53000,5350,12087,6139,1753,5828,1355,1986]",3,90,66,None,0
"[7656,12139,57150,58367,9980,30852,3094,8299]",20,87,81,None,0
"[3211,14379,72137,16592,7256,10990,11450,2889]",51,67,100,None,0
"[15611,7044,72392,18843,6058,20827,10620,9743]",48,66,100,None,0
"[72336,69723,77325,14800,5808,7470,6279,3486]",50,51,100,None,0
"[13272,12729,43004,111650,4400,13790,12555,4181]",56,40,100,None,0
"[41572,108160,11452,46996,6148,9598,9343,5361]",38,35,97,None,0
"[15493,21670,22491,19051,8617,14800,5294,4334]",-12,35,81,None,0
"[6285,27221,4530,4340,6509,20289,6814,2953]",80,57,57,None,0
