delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,raw_value,attention,meditation,blink,amount_of_noise
45855,10361,5887,11381,5784,8967,5170,1163,38,51,48,None,0
6481,35635,40738,16948,5819,7873,6063,3784,38,53,70,None,0
73487,23015,9374,2933,7162,4021,3126,2417,-7,56,53,None,0
25553,14938,36105,5155,4048,5218,4313,4119,5,57,77,None,0
14217,15215,6538,11865,3785,5943,4164,2300,54,51,67,None,0
8017,38466,79306,6479,9568,7243,12908,4314,23,47,64,None,0
34886,33792,114590,5285,10192,12626,14475,11100,-52,43,100,None,0
6987,10819,21914,6530,17614,19319,6491,4542,89,57,78,None,0
18137,43484,34717,22022,4094,5180,3049,2231,57,48,87,None,0
72353,189992,24847,8790,7515,3397,3202,1809,59,37,47,None,0
